record_id,student_id,student_name,roll_number,date,status,confidence,class_name,subject_name,detection_method,camera_id,frame_count,processing_time_ms,created_at
rec-000001,student-001,Student 1,2024-CS-001,2026-03-30,present,96.75,Class C,Mathematics,face-api,cam-lab-01,7,125.0,2026-03-30T09:47:00Z
rec-000002,student-002,Student 2,2024-CS-002,2026-03-30,late,95.16,Class A,Physics,face-api,cam-lab-01,5,141.8,2026-03-30T09:38:00Z
rec-000003,student-003,Student 3,2024-CS-003,2026-03-30,present,94.75,Class A,English,manual,,16,0,2026-03-30T09:37:00Z
rec-000004,student-004,Student 4,2024-CS-004,2026-03-30,present,100,Class A,Physics,face-api,cam-classroom-02,8,108.3,2026-03-30T09:06:00Z
rec-000005,student-005,Student 5,2024-CS-005,2026-03-30,present,86.82,Class A,English,face-api,cam-lab-01,14,151.3,2026-03-30T09:07:00Z
rec-000006,student-006,Student 6,2024-CS-006,2026-03-30,absent,13.3,Class B,Mathematics,manual,,0,0,2026-03-30T09:35:00Z
rec-000007,student-007,Student 7,2024-CS-007,2026-03-30,present,83.37,Class A,Mathematics,yolo-arcface,cam-classroom-01,21,59.8,2026-03-30T09:42:00Z
rec-000008,student-008,Student 8,2024-CS-008,2026-03-30,present,91.4,Class B,Computer Science,face-api,cam-classroom-02,6,135.8,2026-03-30T09:40:00Z
rec-000009,student-009,Student 9,2024-CS-009,2026-03-30,late,91.91,Class C,Mathematics,manual,,11,0,2026-03-30T09:38:00Z
rec-000010,student-010,Student 10,2024-CS-010,2026-03-30,present,96.8,Class A,English,manual,,10,0,2026-03-30T09:24:00Z
rec-000011,student-011,Student 11,2024-CS-011,2026-03-30,present,100,Class B,Mathematics,face-api,cam-classroom-01,24,92.4,2026-03-30T09:52:00Z
rec-000012,student-012,Student 12,2024-CS-012,2026-03-30,present,90.11,Class C,Computer Science,face-api,cam-classroom-01,21,148.9,2026-03-30T09:41:00Z
rec-000013,student-013,Student 13,2024-CS-013,2026-03-30,present,98.45,Class A,Physics,face-api,cam-lab-01,11,82.0,2026-03-30T09:35:00Z
rec-000014,student-014,Student 14,2024-CS-014,2026-03-30,present,91.88,Class B,Physics,manual,,15,0,2026-03-30T09:08:00Z
rec-000015,student-015,Student 15,2024-CS-015,2026-03-30,present,85.65,Class A,English,face-api,cam-lab-01,4,134.8,2026-03-30T09:04:00Z
rec-000016,student-016,Student 16,2024-CS-016,2026-03-30,present,89.35,Class C,Computer Science,manual,,17,0,2026-03-30T09:35:00Z
rec-000017,student-017,Student 17,2024-CS-017,2026-03-30,late,100,Class B,Computer Science,manual,,20,0,2026-03-30T09:07:00Z
rec-000018,student-018,Student 18,2024-CS-018,2026-03-30,present,92.69,Class C,Computer Science,face-api,cam-lab-01,17,184.0,2026-03-30T09:48:00Z
rec-000019,student-019,Student 19,2024-CS-019,2026-03-30,present,92.2,Class C,Physics,face-api,cam-classroom-01,23,102.9,2026-03-30T09:23:00Z
rec-000020,student-020,Student 20,2024-CS-020,2026-03-30,present,100,Class A,Chemistry,manual,,19,0,2026-03-30T09:20:00Z
rec-000021,student-021,Student 21,2024-CS-021,2026-03-30,present,96.35,Class A,Physics,yolo-arcface,cam-lab-01,10,144.6,2026-03-30T09:05:00Z
rec-000022,student-022,Student 22,2024-CS-022,2026-03-30,present,89.74,Class A,English,manual,,7,0,2026-03-30T09:35:00Z
rec-000023,student-023,Student 23,2024-CS-023,2026-03-30,present,92.2,Class B,Physics,manual,,22,0,2026-03-30T09:59:00Z
rec-000024,student-024,Student 24,2024-CS-024,2026-03-30,present,91.49,Class C,Computer Science,yolo-arcface,cam-classroom-02,15,93.4,2026-03-30T09:57:00Z
rec-000025,student-025,Student 25,2024-CS-025,2026-03-30,present,95.1,Class C,Chemistry,yolo-arcface,cam-classroom-01,3,139.7,2026-03-30T09:37:00Z
rec-000026,student-026,Student 26,2024-CS-026,2026-03-30,present,99.64,Class A,Computer Science,face-api,cam-classroom-01,5,144.4,2026-03-30T09:32:00Z
rec-000027,student-027,Student 27,2024-CS-027,2026-03-30,present,89.97,Class C,English,face-api,cam-classroom-01,21,95.7,2026-03-30T09:50:00Z
rec-000028,student-028,Student 28,2024-CS-028,2026-03-30,present,89.77,Class B,English,manual,,16,0,2026-03-30T09:26:00Z
rec-000029,student-029,Student 29,2024-CS-029,2026-03-30,present,93.47,Class C,Mathematics,manual,,4,0,2026-03-30T09:03:00Z
rec-000030,student-030,Student 30,2024-CS-030,2026-03-30,present,85.65,Class A,Chemistry,face-api,cam-classroom-02,9,187.4,2026-03-30T09:08:00Z
rec-000031,student-031,Student 31,2024-CS-031,2026-03-30,present,91.19,Class C,Mathematics,face-api,cam-classroom-01,17,149.8,2026-03-30T09:41:00Z
rec-000032,student-032,Student 32,2024-CS-032,2026-03-30,absent,50.35,Class A,Physics,manual,,0,0,2026-03-30T09:26:00Z
rec-000033,student-033,Student 33,2024-CS-033,2026-03-30,present,78.44,Class A,English,face-api,cam-classroom-02,15,139.6,2026-03-30T09:59:00Z
rec-000034,student-034,Student 34,2024-CS-034,2026-03-30,present,89.93,Class C,English,yolo-arcface,cam-classroom-01,12,31.1,2026-03-30T09:12:00Z
rec-000035,student-035,Student 35,2024-CS-035,2026-03-30,present,99.01,Class B,Mathematics,face-api,cam-classroom-01,21,118.7,2026-03-30T09:37:00Z
rec-000036,student-036,Student 36,2024-CS-036,2026-03-30,present,89.88,Class A,Chemistry,manual,,8,0,2026-03-30T09:05:00Z
rec-000037,student-037,Student 37,2024-CS-037,2026-03-30,late,90.73,Class A,Chemistry,face-api,cam-classroom-01,15,126.3,2026-03-30T09:37:00Z
rec-000038,student-038,Student 38,2024-CS-038,2026-03-30,present,87.42,Class C,Computer Science,manual,,21,0,2026-03-30T09:59:00Z
rec-000039,student-039,Student 39,2024-CS-039,2026-03-30,present,87.74,Class B,Physics,manual,,25,0,2026-03-30T09:16:00Z
rec-000040,student-040,Student 40,2024-CS-040,2026-03-30,present,89.61,Class A,English,yolo-arcface,cam-lab-01,5,90.2,2026-03-30T09:36:00Z
rec-000041,student-041,Student 41,2024-CS-041,2026-03-30,absent,39.31,Class B,Physics,manual,,0,0,2026-03-30T09:59:00Z
rec-000042,student-042,Student 42,2024-CS-042,2026-03-30,present,93.85,Class C,Computer Science,face-api,cam-lab-01,10,104.0,2026-03-30T09:51:00Z
rec-000043,student-043,Student 43,2024-CS-043,2026-03-30,present,94.57,Class C,Mathematics,face-api,cam-classroom-01,24,133.8,2026-03-30T09:16:00Z
rec-000044,student-044,Student 44,2024-CS-044,2026-03-30,present,87.38,Class A,Computer Science,face-api,cam-classroom-01,20,138.2,2026-03-30T09:43:00Z
rec-000045,student-045,Student 45,2024-CS-045,2026-03-30,present,96.05,Class A,Mathematics,yolo-arcface,cam-lab-01,19,33.4,2026-03-30T09:27:00Z
rec-000046,student-046,Student 46,2024-CS-046,2026-03-30,late,89.25,Class B,Physics,face-api,cam-lab-01,3,109.4,2026-03-30T09:28:00Z
rec-000047,student-047,Student 47,2024-CS-047,2026-03-30,present,94.75,Class C,Physics,yolo-arcface,cam-lab-01,20,135.8,2026-03-30T09:02:00Z
rec-000048,student-048,Student 48,2024-CS-048,2026-03-30,late,88.19,Class A,English,manual,,20,0,2026-03-30T09:08:00Z
rec-000049,student-049,Student 49,2024-CS-049,2026-03-30,present,82.79,Class A,Physics,face-api,cam-lab-01,14,189.9,2026-03-30T09:06:00Z
rec-000050,student-050,Student 50,2024-CS-050,2026-03-30,present,80.63,Class A,Physics,manual,,7,0,2026-03-30T09:51:00Z
rec-000051,student-001,Student 1,2024-CS-001,2026-03-31,present,87.51,Class B,Physics,yolo-arcface,cam-classroom-02,3,159.0,2026-03-31T09:10:00Z
rec-000052,student-002,Student 2,2024-CS-002,2026-03-31,present,100,Class A,Physics,face-api,cam-classroom-02,15,174.9,2026-03-31T09:22:00Z
rec-000053,student-003,Student 3,2024-CS-003,2026-03-31,present,83.46,Class B,Computer Science,face-api,cam-classroom-01,10,145.9,2026-03-31T09:49:00Z
rec-000054,student-004,Student 4,2024-CS-004,2026-03-31,present,92.58,Class B,Chemistry,manual,,19,0,2026-03-31T09:21:00Z
rec-000055,student-005,Student 5,2024-CS-005,2026-03-31,absent,59.8,Class A,Chemistry,manual,,0,0,2026-03-31T09:16:00Z
rec-000056,student-006,Student 6,2024-CS-006,2026-03-31,present,100,Class B,Computer Science,manual,,16,0,2026-03-31T09:27:00Z
rec-000057,student-007,Student 7,2024-CS-007,2026-03-31,present,86.1,Class B,Mathematics,manual,,9,0,2026-03-31T09:45:00Z
rec-000058,student-008,Student 8,2024-CS-008,2026-03-31,present,91.58,Class C,Physics,manual,,20,0,2026-03-31T09:23:00Z
rec-000059,student-009,Student 9,2024-CS-009,2026-03-31,present,100,Class C,Mathematics,manual,,13,0,2026-03-31T09:46:00Z
rec-000060,student-010,Student 10,2024-CS-010,2026-03-31,late,82.31,Class C,English,manual,,12,0,2026-03-31T09:20:00Z
rec-000061,student-011,Student 11,2024-CS-011,2026-03-31,present,91.11,Class B,Physics,yolo-arcface,cam-lab-01,24,140.0,2026-03-31T09:36:00Z
rec-000062,student-012,Student 12,2024-CS-012,2026-03-31,present,91.84,Class B,Chemistry,yolo-arcface,cam-lab-01,9,119.7,2026-03-31T09:41:00Z
rec-000063,student-013,Student 13,2024-CS-013,2026-03-31,present,83.59,Class C,Physics,manual,,18,0,2026-03-31T09:42:00Z
rec-000064,student-014,Student 14,2024-CS-014,2026-03-31,present,95.22,Class C,Chemistry,manual,,24,0,2026-03-31T09:21:00Z
rec-000065,student-015,Student 15,2024-CS-015,2026-03-31,present,96.19,Class A,Physics,yolo-arcface,cam-classroom-01,10,111.3,2026-03-31T09:02:00Z
rec-000066,student-016,Student 16,2024-CS-016,2026-03-31,present,80.46,Class B,Chemistry,face-api,cam-classroom-01,17,132.1,2026-03-31T09:45:00Z
rec-000067,student-017,Student 17,2024-CS-017,2026-03-31,present,87.52,Class A,Mathematics,manual,,25,0,2026-03-31T09:49:00Z
rec-000068,student-018,Student 18,2024-CS-018,2026-03-31,present,92.16,Class A,Mathematics,face-api,cam-classroom-02,25,107.2,2026-03-31T09:08:00Z
rec-000069,student-019,Student 19,2024-CS-019,2026-03-31,present,91.78,Class C,Chemistry,manual,,19,0,2026-03-31T09:20:00Z
rec-000070,student-020,Student 20,2024-CS-020,2026-03-31,absent,46.04,Class C,Chemistry,manual,,0,0,2026-03-31T09:27:00Z
rec-000071,student-021,Student 21,2024-CS-021,2026-03-31,late,81.05,Class A,English,manual,,17,0,2026-03-31T09:28:00Z
rec-000072,student-022,Student 22,2024-CS-022,2026-03-31,present,92.15,Class C,Physics,manual,,18,0,2026-03-31T09:17:00Z
rec-000073,student-023,Student 23,2024-CS-023,2026-03-31,present,100,Class A,Computer Science,manual,,12,0,2026-03-31T09:21:00Z
rec-000074,student-024,Student 24,2024-CS-024,2026-03-31,present,88.83,Class C,Physics,face-api,cam-lab-01,15,114.6,2026-03-31T09:13:00Z
rec-000075,student-025,Student 25,2024-CS-025,2026-03-31,present,85.72,Class A,English,yolo-arcface,cam-classroom-02,4,147.4,2026-03-31T09:57:00Z
rec-000076,student-026,Student 26,2024-CS-026,2026-03-31,present,93.12,Class B,Mathematics,manual,,15,0,2026-03-31T09:22:00Z
rec-000077,student-027,Student 27,2024-CS-027,2026-03-31,present,91.6,Class C,Physics,yolo-arcface,cam-classroom-02,16,56.7,2026-03-31T09:14:00Z
rec-000078,student-028,Student 28,2024-CS-028,2026-03-31,present,89.68,Class B,Physics,yolo-arcface,cam-classroom-02,3,74.5,2026-03-31T09:58:00Z
